순위,종목코드,종목명,현재가,전일대비,,매도호가,매수호가,거래량,순매수량,취득가능수량
156,'066430,아이로보틱스,"3,015",▼,"-145","3,015","3,010","1,476,106","256,946","37,637,378"
157,'148780,비큐AI,"1,490",▼,"-60","1,494","1,490","460,492","253,446","30,454,805"
158,'161510,PLUS 고배당주,"27,790",▲,"330","27,790","27,785","4,225,693","252,900","84,590,829"
159,'018260,삼성에스디에스,"170,500",▼,"-2,000","170,500","170,400","171,658","251,315","61,471,003"
160,'004990,롯데지주,"36,350",▲,"2,700","36,350","36,300","2,127,187","250,056","95,480,778"
161,'078130,국일제지,"334",▼,"-17","334","333","3,079,419","249,319","1,122,747,762"
162,'098460,고영,"31,050",▼,"-1,150","31,100","31,050","1,695,418","248,957","58,895,571"
163,'039130,하나투어,"50,700",▼,"-400","50,700","50,600","227,520","248,666","13,193,733"
164,'456160,지투지바이오,"90,400",▼,"-2,800","90,400","90,300","938,596","246,825","15,515,445"
165,'331520,밸로프,"580",▲,"11","580","579","503,972","244,423","49,224,985"
166,'180400,DXVX,"4,970",▼,"-80","4,970","4,965","398,843","243,127","92,975,608"
167,'029480,광무,"2,365",▼,"-25","2,365","2,360","278,722","240,334","61,085,102"
168,'006260,LS,"248,000",▼,"-2,500","248,500","247,500","352,481","239,510","25,531,992"
169,'388790,라이콤,"3,005",▼,"-185","3,005","2,995","895,949","238,199","29,707,403"
170,'003530,한화투자증권,"7,360",▲,"860","7,360","7,350","61,679,560","236,196","195,317,585"
171,'037440,희림,"4,540",▼,"-60","4,540","4,530","118,298","235,731","12,852,763"
172,'033240,자화전자,"42,050",▼,"-450","42,050","42,000","521,713","235,399","18,936,171"
173,'051910,LG화학,"325,500",▼,"-11,000","325,500","325,000","470,379","235,352","46,148,732"
174,'250780,TIGER 코스닥150선물인버스,"2,325",▲,"40","2,330","2,325","596,354","234,710","5,465,220"
175,'383800,LX홀딩스,"9,090",▲,"130","9,100","9,090","562,797","233,649","66,147,890"
176,'498400,KODEX 200타겟위클리커버드콜,"17,380",▲,"30","17,380","17,375","9,014,487","233,384","178,931,868"
177,'089030,테크윙,"42,100",▼,"-1,800","42,150","42,100","842,767","231,703","33,303,709"
178,'126640,화신정공,"1,476",▼,"-35","1,479","1,476","411,004","230,984","33,634,248"
179,'045970,코아시아,"6,070",▼,"-250","6,080","6,070","373,358","230,371","24,265,989"
180,'000400,롯데손해보험,"1,900",▲,"88","1,900","1,876","1,801,565","230,149","306,072,055"
181,'234100,폴라리스세원,"1,171",▼,"-33","1,172","1,171","647,298","229,881","68,761,003"
182,'014620,성광벤드,"34,550",▲,"1,600","34,600","34,550","1,010,766","229,359","18,242,039"
